GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US12585,12585,ZCTA5 12585,110114,49794,130921,19828,133875,21178,50875,39131
8600000US12586,12586,ZCTA5 12586,74350,12116,78550,9239,97713,18810,50625,11473
8600000US12589,12589,ZCTA5 12589,83143,8740,92946,10131,103281,11219,39076,14374
8600000US12590,12590,ZCTA5 12590,84295,3730,97500,5598,107421,5061,50755,7548
8600000US12592,12592,ZCTA5 12592,53906,23245,78068,28328,75000,66686,39474,15420
8600000US12594,12594,ZCTA5 12594,62953,8901,87500,17220,105694,11073,22754,6303
8600000US12601,12601,ZCTA5 12601,43802,2469,63549,4468,83340,7756,27198,3725
8600000US12603,12603,ZCTA5 12603,80240,3276,99622,6048,110504,3664,48102,3436
8600000US12604,12604,ZCTA5 12604,-,**,-,**,-,**,-,**
8600000US12701,12701,ZCTA5 12701,37767,5799,52386,17727,79036,28034,23776,5833
8600000US12719,12719,ZCTA5 12719,56923,12727,64896,12594,72167,32294,39271,9141
8600000US12720,12720,ZCTA5 12720,82560,47986,-,**,-,**,82976,54387
8600000US12721,12721,ZCTA5 12721,64801,15204,82037,18877,93413,18680,38906,9983
8600000US12722,12722,ZCTA5 12722,73250,48129,-,**,-,**,-,**
8600000US12723,12723,ZCTA5 12723,53600,7748,63661,15979,66010,7639,40729,3970
8600000US12724,12724,ZCTA5 12724,64491,31277,96146,77853,-,**,30667,24080
8600000US12725,12725,ZCTA5 12725,78333,59084,98036,21964,98393,14538,42188,15826
8600000US12726,12726,ZCTA5 12726,67813,17904,82625,8695,88400,11899,46184,2597
8600000US12729,12729,ZCTA5 12729,49091,16233,65580,12857,66250,11084,-,**
8600000US12732,12732,ZCTA5 12732,40625,29860,69500,43003,90300,32505,-,**
8600000US12733,12733,ZCTA5 12733,32188,18950,41591,28130,48011,21077,-,**
8600000US12734,12734,ZCTA5 12734,73300,17417,75840,1978,75859,1727,27337,8986
8600000US12736,12736,ZCTA5 12736,-,**,41250,39090,41250,39090,-,**
8600000US12737,12737,ZCTA5 12737,75488,8718,76515,14141,85200,14046,71000,19917
8600000US12738,12738,ZCTA5 12738,61830,30568,77723,22738,78616,25341,58523,20375
8600000US12740,12740,ZCTA5 12740,70608,4830,74500,7570,77635,5096,31719,13825
8600000US12741,12741,ZCTA5 12741,57857,49252,102000,23503,102000,23503,19444,5526
8600000US12742,12742,ZCTA5 12742,-,**,26058,14458,-,**,-,**
8600000US12743,12743,ZCTA5 12743,51635,8560,40625,28859,64063,47228,51250,33972
8600000US12745,12745,ZCTA5 12745,59000,39106,-,**,-,**,-,**
8600000US12746,12746,ZCTA5 12746,90690,12237,93015,31978,94191,17189,85815,24658
8600000US12747,12747,ZCTA5 12747,64708,16061,78674,13770,93261,11129,53194,24677
8600000US12748,12748,ZCTA5 12748,66500,12951,92273,16801,95871,5951,34605,15957
8600000US12749,12749,ZCTA5 12749,52829,30178,53092,6044,53092,6044,-,**
8600000US12750,12750,ZCTA5 12750,78125,40554,76875,55013,113021,53721,-,**
8600000US12751,12751,ZCTA5 12751,50288,14921,64205,36529,80268,10419,22738,3552
8600000US12752,12752,ZCTA5 12752,40000,8987,40417,9276,90313,51591,39712,22739
8600000US12754,12754,ZCTA5 12754,37485,7074,50638,6010,57227,19293,17123,2025
8600000US12758,12758,ZCTA5 12758,50388,9007,67197,9889,71942,7254,34329,14976
8600000US12759,12759,ZCTA5 12759,27450,10662,28241,9461,30474,3722,-,**
8600000US12760,12760,ZCTA5 12760,57560,20109,59821,23046,59762,29592,21875,17889
8600000US12762,12762,ZCTA5 12762,38571,18029,24851,18839,44083,25773,64509,23408
8600000US12763,12763,ZCTA5 12763,67734,29432,69453,26396,69609,28824,-,**
8600000US12764,12764,ZCTA5 12764,46736,9289,64250,7599,75278,4254,30458,3429
8600000US12765,12765,ZCTA5 12765,88553,23112,90156,43689,89375,36271,33194,25686
8600000US12766,12766,ZCTA5 12766,68661,34254,96058,32740,96346,32097,-,**
8600000US12767,12767,ZCTA5 12767,108250,52397,109750,33567,108250,28636,-,**
8600000US12768,12768,ZCTA5 12768,64278,23786,93047,18587,98984,13893,14710,5054
8600000US12769,12769,ZCTA5 12769,76250,69346,79800,50847,103882,27808,34300,4521
8600000US12770,12770,ZCTA5 12770,70703,32160,71250,23644,72266,23633,46458,17109
8600000US12771,12771,ZCTA5 12771,52333,4539,70969,6415,86506,12692,29213,6629
8600000US12775,12775,ZCTA5 12775,94643,13682,92313,22655,103712,11791,59464,17866
8600000US12776,12776,ZCTA5 12776,53516,4768,70000,8473,93542,23086,33713,12446
8600000US12777,12777,ZCTA5 12777,80500,15687,96625,14201,97375,18427,36875,21835
8600000US12778,12778,ZCTA5 12778,-,**,146335,58225,-,**,-,**
8600000US12779,12779,ZCTA5 12779,37900,15917,37785,34479,41705,29603,23259,13554
8600000US12780,12780,ZCTA5 12780,44412,12787,58566,4403,70417,25205,21563,14037
8600000US12781,12781,ZCTA5 12781,-,**,83333,69216,83333,69216,-,**
8600000US12783,12783,ZCTA5 12783,66917,13897,66500,12463,70655,18209,48750,38441
8600000US12784,12784,ZCTA5 12784,-,**,-,**,-,**,-,**
8600000US12785,12785,ZCTA5 12785,50750,50703,92880,34404,89545,42451,-,**
8600000US12786,12786,ZCTA5 12786,49886,44035,-,**,-,**,-,**
8600000US12787,12787,ZCTA5 12787,58214,14343,81250,43129,81250,43129,-,**
8600000US12788,12788,ZCTA5 12788,58103,13567,62717,11847,66486,13887,36563,31547
8600000US12789,12789,ZCTA5 12789,45250,9220,60333,12236,71964,36362,28609,7514
8600000US12790,12790,ZCTA5 12790,62391,9425,78250,15505,93472,9553,42356,11952
8600000US12791,12791,ZCTA5 12791,77600,19002,93580,46512,103281,24368,-,**
8600000US12792,12792,ZCTA5 12792,42813,12233,38500,24588,47917,35275,-,**
8600000US12801,12801,ZCTA5 12801,48901,3530,62870,4815,80085,5617,31670,2943
